continent,sector,market_cap,probability
Europe,Financials,Mega Cap,1.3564471935107566e-05
Europe,Financials,Micro Cap,0.002848539106372589
Europe,Financials,Mid Cap,0.004598355986001465
Europe,Financials,Nano Cap,0.002875668050242804
Europe,Financials,Small Cap,0.004801823065028079
Europe,Health Care,Large Cap,0.004232115243753561
Europe,Health Care,Mega Cap,0.00027128943870215135
Europe,Health Care,Micro Cap,0.006877187271099536
Europe,Health Care,Mid Cap,0.00362171400667372
Europe,Health Care,Nano Cap,0.004503404682455712
Europe,Health Care,Small Cap,0.005805593988226039
Europe,Industrials,Large Cap,0.007514717452049592
Europe,Industrials,Mega Cap,9.495130354575297e-05
Europe,Industrials,Micro Cap,0.006307479449825018
Europe,Industrials,Mid Cap,0.00908819619652207
Europe,Industrials,Nano Cap,0.0045305336263259275
Europe,Industrials,Small Cap,0.010010580288109383
Europe,Information Technology,Large Cap,0.0025229917799300073
Europe,Information Technology,Mega Cap,0.0001627736632212908
Europe,Information Technology,Micro Cap,0.006117576842733513
Europe,Information Technology,Mid Cap,0.0037709231979599035
Europe,Information Technology,Nano Cap,0.004828952008898294
Europe,Information Technology,Small Cap,0.00512737039147066
Europe,Materials,Large Cap,0.004544098098261035
Europe,Materials,Micro Cap,0.0034182469276471065
Europe,Materials,Mid Cap,0.003323295624101354
Europe,Materials,Nano Cap,0.00150565638479694
Europe,Materials,Small Cap,0.0030520061853992024
Europe,Real Estate,Large Cap,0.0008681262038468842
Europe,Real Estate,Micro Cap,0.0018312037112395215
Europe,Real Estate,Mid Cap,0.0024958628360597923
Europe,Real Estate,Nano Cap,0.001627736632212908
Europe,Real Estate,Small Cap,0.0028349746344374814
Europe,Utilities,Large Cap,0.002604378611540653
Europe,Utilities,Micro Cap,0.0010987222267437129
Europe,Utilities,Mid Cap,0.0023737825886438243
Europe,Utilities,Nano Cap,0.0006917880686904858
Europe,Utilities,Small Cap,0.0011122866986788204
North America,Communication Services,Large Cap,0.002726458858956621
